X1 house age,X2 distance to the nearest MRT station,X3 number of convenience stores,Y house price of unit area
146.1187215,2.616477968,200,64.5106383
89.04109589,9.451100729,180,71.82978723
60.73059361,17.32375712,100,80.5106383
60.73059361,17.32375712,100,93.27659574
22.83105023,12.03967743,100,73.36170213
32.42009132,67.0475635,60,54.63829787
157.5342466,19.21920721,140,68.59574468
92.69406393,8.865646397,120,79.4893617
144.7488584,169.9143082,20,32
81.73515982,54.96837942,60,37.61702128
158.9041096,12.4911248,20,70.46808511
28.76712329,2.788402195,180,98.89361702
59.36073059,15.17354213,100,66.89361702
93.15068493,76.12937751,80,40.5106383
60.2739726,35.9073437,80,58.38297872
163.0136986,17.85469868,40,85.95744681
0,9.031962135,120,119.3191489
80.82191781,10.81536265,20,63.65957447
77.16894977,11.3481846,160,72
6.849315068,0.72080038,140,81.19148936
20.54794521,70.15627724,60,49.87234043
47.94520548,8.605785955,140,87.82978723
67.12328767,41.9277003,20,41.87234043
46.11872146,8.605785955,140,81.53191489
180.8219178,14.81800691,80,66.04255319
133.7899543,45.86507966,40,45.95744681
14.15525114,11.832958,100,95.65957447
47.48858447,8.521828151,100,57.19148936
87.67123288,17.18483957,80,80
32.42009132,13.91005979,100,97.19148936
118.2648402,139.3241483,0,37.61702128
135.1598174,23.71766059,140,42.55319149
173.0593607,15.06076198,20,58.21276596
75.34246575,9.977002232,120,83.91489362
70.3196347,6.330651519,140,93.78723404
63.47031963,125.7523057,0,46.46808511
67.12328767,59.64866637,40,38.9787234
54.79452055,41.9277003,20,43.06382979
14.15525114,17.81626477,120,81.19148936
73.97260274,8.918738087,100,78.63829787
62.10045662,125.8323609,0,27.06382979
76.71232877,125.3567767,0,30.9787234
164.8401826,16.01294755,100,59.06382979
157.0776256,15.80719606,120,58.04255319
12.32876712,16.4449591,80,91.74468085
167.1232877,15.06836368,160,65.19148936
99.08675799,14.30212079,180,71.4893617
163.9269406,19.75144963,60,104.6808511
110.5022831,141.9770065,0,22.80851064
134.2465753,139.0365105,20,22.46808511
99.08675799,15.79984713,80,75.23404255
142.9223744,54.20469508,20,35.23404255
146.5753425,44.34569494,60,45.95744681
60.73059361,15.17354213,100,66.21276596
73.51598174,8.918738087,100,88
144.7488584,35.77768938,0,23.31914894
153.4246575,11.44415223,160,71.31914894
15.98173516,1.740877534,140,91.06382979
138.3561644,139.0365105,20,38.46808511
60.73059361,10.35918965,100,72.17021277
50.2283105,59.53146576,40,36.25531915
24.20091324,8.00431133,120,107.5744681
78.53881279,67.07367316,60,47.14893617
11.87214612,16.4449591,80,93.61702128
79.9086758,30.69519658,0,43.06382979
183.1050228,3.814503683,160,75.40425532
4.566210046,5.967443694,120,86.29787234
38.81278539,3.230880418,100,96.68085106
138.8127854,14.31015713,120,61.61702128
57.07762557,17.32375712,100,71.4893617
30.1369863,2.788402195,180,100.4255319
162.1004566,19.75144963,60,69.44680851
148.4018265,13.08701683,160,61.78723404
63.01369863,125.8323609,0,34.04255319
31.05022831,11.70025498,200,92.59574468
56.16438356,41.9277003,20,50.21276596
163.9269406,19.00118387,60,62.63829787
93.60730594,67.35884486,60,43.57446809
174.4292237,17.02944858,40,50.72340426
82.19178082,43.61382307,20,45.10638298
53.88127854,16.4449591,80,68.59574468
140.6392694,11.64594258,120,62.63829787
60.2739726,4.652719219,140,81.87234043
115.5251142,83.45817623,60,30.12765957
68.94977169,11.81502033,140,74.38297872
0,10.44903831,180,86.46808511
8.219178082,44.87648853,20,45.95744681
77.16894977,125.3567767,0,31.14893617
40.63926941,43.35466855,0,81.70212766
105.0228311,121.6995136,0,43.06382979
0,8.446779072,20,77.27659574
41.55251142,43.21860241,0,73.53191489
94.06392694,76.12937751,80,37.10638298
145.6621005,35.33678451,0,27.40425532
