,title,location,department,salary_range,company_profile,employment_type,required_experience,required_education,industry,function,fraudulent
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,1,1,0,1,1,0
2,2,2,2,0,2,2,1,0,0,2,0
3,3,3,3,0,3,1,2,1,2,3,0
4,4,4,2,0,4,1,2,1,3,4,0
5,5,5,2,0,5,2,1,0,0,2,0
6,6,6,4,1,6,1,2,2,4,5,0
7,7,7,2,0,7,2,1,0,0,2,0
8,8,8,2,0,8,1,3,0,5,2,0
9,9,9,2,0,9,3,4,3,6,1,0
10,10,10,2,2,5,1,2,1,5,6,0
11,11,11,5,0,10,2,1,0,0,2,0
12,12,12,2,0,9,1,3,1,7,6,0
13,13,13,2,0,11,1,1,0,8,7,0
14,14,14,3,0,12,1,3,1,9,3,0
15,15,15,3,3,13,1,5,1,10,3,0
16,16,16,6,0,14,1,2,0,9,8,0
17,17,17,2,0,15,2,1,0,0,2,0
18,18,0,2,0,16,2,1,0,0,2,0
19,19,18,2,0,17,1,1,0,0,2,0
20,20,19,2,0,18,2,1,0,0,0,0
21,21,20,2,0,19,1,2,2,11,8,0
22,22,21,7,0,20,1,2,1,12,3,0
23,23,22,8,2,21,1,5,0,9,3,0
24,24,11,2,0,5,2,1,0,0,2,0
25,25,23,2,0,22,2,1,0,0,2,0
26,26,24,0,0,23,1,3,0,4,0,0
27,27,25,9,0,24,1,3,2,3,4,0
28,28,26,2,0,17,1,1,0,7,2,0
29,29,27,2,0,9,1,4,3,13,9,0
30,30,28,2,0,9,1,4,3,2,1,0
31,31,29,2,4,5,1,3,0,2,8,0
32,32,30,10,0,25,1,4,0,14,7,0
33,33,31,2,0,2,1,1,1,15,8,0
34,34,32,11,0,26,1,1,0,1,2,0
35,35,33,2,0,27,4,1,1,16,2,0
36,36,34,2,0,27,4,1,1,16,2,0
37,37,35,2,0,5,1,2,1,15,8,0
38,38,36,12,0,28,1,2,0,2,10,0
39,39,37,2,0,9,1,4,3,6,9,0
40,35,38,2,0,27,4,1,1,16,2,0
41,35,39,2,0,27,4,1,1,16,2,0
42,40,40,2,5,5,1,4,1,2,8,0
43,41,41,2,0,9,1,4,3,13,1,0
44,42,42,2,0,9,1,4,3,2,1,0
45,43,43,2,0,29,1,1,0,17,3,0
46,44,44,2,0,30,1,4,1,18,2,0
47,29,45,2,0,9,1,4,3,6,9,0
48,35,46,2,0,27,4,1,1,16,2,0
49,45,47,2,0,9,1,4,3,10,1,0
50,46,48,13,0,31,1,4,3,19,11,0
51,47,42,2,0,9,1,4,3,16,9,0
52,48,0,2,0,32,1,1,0,5,2,0
53,49,49,2,0,5,1,3,1,6,6,0
54,50,50,2,0,29,2,1,0,0,2,0
55,51,51,2,0,33,2,1,0,0,2,0
56,52,52,2,0,29,2,1,0,0,2,0
57,53,53,14,0,34,2,1,1,3,2,0
58,54,54,2,0,35,1,3,1,2,0,0
59,55,7,2,0,36,1,1,0,5,10,0
60,56,55,2,0,27,4,4,1,16,12,0
61,57,56,15,0,37,1,4,3,20,13,0
62,58,39,2,0,27,4,1,1,16,2,0
63,59,57,2,0,9,1,4,3,3,1,0
64,60,58,2,0,5,2,1,0,0,2,0
65,61,20,2,6,38,1,1,0,2,8,0
66,62,59,16,0,39,2,1,0,0,2,0
67,63,60,2,0,17,1,1,0,0,2,0
68,64,61,2,0,17,1,1,0,0,2,0
69,65,62,17,0,5,4,1,0,0,6,0
